SeriesInstanceUID,zip_path,extract_dir,status
1.3.6.1.4.1.14519.5.2.1.1188.2803.738581576903765604292010199710,/kaggle/working/liver_digital_twin/data/raw_zips/1.3.6.1.4.1.14519.5.2.1.1188.2803.738581576903765604292010199710.zip,/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.738581576903765604292010199710,ok
1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,/kaggle/working/liver_digital_twin/data/raw_zips/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109.zip,/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,ok
1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,/kaggle/working/liver_digital_twin/data/raw_zips/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248.zip,/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,ok
1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,/kaggle/working/liver_digital_twin/data/raw_zips/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809.zip,/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,ok
1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,/kaggle/working/liver_digital_twin/data/raw_zips/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818.zip,/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,ok
