path,source_SeriesInstanceUID,PatientID,SOPInstanceUID,NumberOfFrames,temporal_type,decode_ok,decode_error,pixel_array_shape,pixel_dtype,representative_frame_index,frame_height,frame_width,aspect_ratio,pixel_min,pixel_max,pixel_mean,pixel_std,p01,p99,robust_dynamic_range,zero_fraction,wide_layout_candidate,preview_path
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.950280477814037439455301854932,1,single_frame,True,,"(720, 1280, 3)",uint8,0,720,1280,1.7778,0.0,255.0,44.88775634765625,44.40618515014648,0.0,157.0,157.0,0.3189822048611111,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.950280477814037439455301854932__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.686515758757679256427414178739,1,single_frame,True,,"(720, 960, 3)",uint8,0,720,960,1.3333,0.0,255.0,43.99644470214844,56.77894592285156,0.0,213.0,213.0,0.4598871527777777,False,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.686515758757679256427414178739__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.323242708790647045468471701326,117,multi_frame_cine,True,,"(117, 421, 760, 3)",uint8,58,421,760,1.8052,0.0,255.0,55.33857345581055,48.36053466796875,0.0,170.49424743652344,170.49424743652344,0.2382891611451431,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.323242708790647045468471701326__f0058.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.762623345775877013671723528814,82,multi_frame_cine,True,,"(82, 421, 760, 3)",uint8,41,421,760,1.8052,0.0,255.0,54.92038345336914,48.05932235717773,0.0,171.69003295898438,171.69003295898438,0.2395518189773721,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.762623345775877013671723528814__f0041.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.182502797337636453438705087660,1,single_frame,True,,"(720, 1280, 3)",uint8,0,720,1280,1.7778,0.0,255.0,45.895164489746094,45.07776641845703,0.0,157.4219970703125,157.4219970703125,0.3194596354166666,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.182502797337636453438705087660__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.261227840917799705133682731824,1,single_frame,True,,"(720, 1280, 3)",uint8,0,720,1280,1.7778,0.0,255.0,32.31627655029297,39.00962829589844,0.0,147.0,147.0,0.3295062934027777,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.261227840917799705133682731824__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.213076819740703033771874627557,1,single_frame,True,,"(720, 1280, 3)",uint8,0,720,1280,1.7778,0.0,255.0,44.76070785522461,44.566707611083984,0.0,152.93800354003906,152.93800354003906,0.3204774305555555,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.213076819740703033771874627557__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.109193203538084063188332306185,1,single_frame,True,,"(720, 1280, 3)",uint8,0,720,1280,1.7778,0.0,255.0,36.8201904296875,40.07578659057617,0.0,144.0,144.0,0.3267263454861111,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.109193203538084063188332306185__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.565279352327182790496488897835,1,single_frame,True,,"(720, 1280, 3)",uint8,0,720,1280,1.7778,0.0,255.0,38.90644836425781,42.63335418701172,0.0,155.0,155.0,0.3237966579861111,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.565279352327182790496488897835__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000010.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.265355266009162474633698408848,94,multi_frame_cine,True,,"(94, 421, 760, 3)",uint8,47,421,760,1.8052,0.0,254.5439910888672,34.95704650878906,36.66274642944336,0.0,132.8660888671875,132.8660888671875,0.2980060007500937,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.265355266009162474633698408848__f0047.png
